"","Time","Event_length","Y89Di","Pd102Di","Rh103Di","Pd104Di","Pd105Di","Pd106Di","Pd108Di","Pd110Di","In113Di","In115Di","Ba138Di","La139Di","Ce140Di","Pr141Di","Nd142Di","Nd143Di","Nd144Di","Nd145Di","Nd146Di","Sm147Di","Nd148Di","Sm149Di","Nd150Di","Eu151Di","Sm152Di","Eu153Di","Sm154Di","Gd155Di","Gd156Di","Gd157Di","Gd158Di","Tb159Di","Gd160Di","Dy161Di","Dy162Di","Dy163Di","Dy164Di","Ho165Di","Er166Di","Er167Di","Er168Di","Tm169Di","Er170Di","Yb171Di","Yb172Di","Yb173Di","Yb174Di","Lu175Di","Yb176Di","Ir191Di","Ir193Di","Pt195Di","Pt196Di","Pb208Di","Center","Offset","Width","Residual","FileNum"
"Time",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Event_length",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y89Di",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pd102Di",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rh103Di",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pd104Di",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pd105Di",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pd106Di",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pd108Di",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pd110Di",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In113Di",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In115Di",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ba138Di",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"La139Di",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ce140Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pr141Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9908427864359e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186207291181022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nd142Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27197722399494e-25,9.05435452967847e-05,1,0.0038261373638954,0.0021993017885316,0.000144648022115939,0.00040317330106028,5.48018289472137e-23,4.23501798558815e-22,4.68585271761626e-25,3.97032936148889e-23,9.17755607102664e-27,9.40529801140778e-27,1.68383400380533e-28,2.6414007661244e-25,6.17758522295187e-21,5.61161062666916e-21,4.01326163894745e-20,0.0172519435974768,0,-6.36192759860725e-21,1.41548175405507e-21,4.30750616477746e-21,8.96270685994473e-23,1.98793423932528e-23,1.18071786515873e-26,5.28786515330316e-25,1.41036246271437e-26,1.33753698648404e-27,2.17269996257912e-29,1.10548121134583e-25,4.31043528587768e-24,5.29324277948634e-24,-1.50822281711423e-23,7.59174990906231e-21,-4.44130167991427e-23,-3.46389684870541e-23,0,0,0,0,0,0,0,0,0,0
"Nd143Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28105609403712e-26,3.18873139264348e-22,0.0077520037370099,1,0.0204099038271791,0.00153275121159246,0.00119938127260696,6.93475740718979e-23,0.000100119365306874,-1.21976085206497e-23,2.98448283841025e-05,-4.66296767948361e-24,4.64009128618001e-26,-2.6995854461378e-26,3.33255634926876e-26,3.45507980232527e-23,5.30136890187071e-23,-3.54458498384418e-22,2.8560286903302e-20,0.0176497912734162,1.08413506523222e-19,7.88115095660097e-21,3.94057547830048e-21,2.59831693309575e-22,-6.5983098902106e-22,-1.98451130110393e-25,-2.07656801630777e-22,7.00496351313024e-25,-4.70430939729769e-25,-1.31920857171271e-28,1.70925570831301e-26,1.62091034058804e-24,-1.72286424763558e-24,-1.14933390815375e-24,-7.84027692865325e-23,-4.26837926172127e-21,-1.55901454376814e-22,0,0,0,0,0,0,0,0,0,0
"Nd144Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42386968302591e-27,5.48461564758921e-23,0.0021165091762623,0.00288259075965678,1,0.0151765210190999,0.00436176373643952,5.00528131554953e-22,0.000170207097860445,-2.65964919983848e-23,8.15258474112294e-05,-1.05432427013686e-23,7.17817203485503e-25,-1.36650008656394e-26,4.59280530637854e-25,1.69377522708577e-21,5.75241086047729e-25,3.38696091257462e-21,-5.40706779607161e-20,-2.59842382472163e-20,0.0181946550405376,5.42006387409299e-20,2.71003193704649e-20,9.0842842140396e-22,-7.92242670123037e-22,-5.08246047417815e-25,-8.88131703674978e-22,4.16678770987521e-24,-1.67462299182129e-24,-6.66860132441142e-27,3.31239578719004e-24,7.94107310491791e-23,1.5880328599738e-22,1.0586070700312e-22,2.11713630511414e-22,6.57046963625669e-24,3.38773024903017e-20,0,0,0,0,0,0,0,0,0,0
"Nd145Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51435298453234e-27,5.5150624957719e-23,0.001699862529576,0.00131689367120854,0.0108078217797081,1,0.0389869335903057,5.08183100396079e-21,0.000445400079556869,4.84252463986876e-24,0.000312997593205496,-1.74798002427363e-23,-3.34282685509031e-24,-1.35349627831414e-25,4.94555402552879e-24,-1.4664713406618e-24,4.9218229698864e-23,-2.78760223432381e-23,7.19536719792676e-21,-8.79585212151291e-21,2.20913059801754e-20,0.0184298324242591,0,8.58623618903537e-21,7.80940840793745e-21,4.35076870572179e-25,-1.37999576589142e-21,2.95213072516609e-24,-1.73703647012087e-24,-2.8094019569918e-28,1.39625210137667e-25,9.39398544255412e-25,6.47640665763704e-25,-9.03343113784942e-26,3.75092862359944e-25,-2.44376046055222e-24,1.0815477753767e-22,0,0,0,0,0,0,0,0,0,0
"Nd146Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.57505312054278e-27,2.76091682980173e-23,0.00102504712298509,0.000662352056371072,0.00212028991971963,0.00179230219963919,1,0.000306879090032487,0.00170686493092499,1.48226325512821e-21,0.000412875235453553,3.5238499201793e-23,4.2350378717949e-22,4.6837615131737e-25,2.11751893589745e-22,4.19276403090797e-24,1.26809704867984e-23,3.16269688477787e-24,2.41984983682973e-21,-2.82240640721395e-21,-3.34775473156662e-22,-2.12167811365295e-21,0.0179869511231023,-1.31286174025642e-19,-1.70066450520714e-20,1.83550824086158e-23,-1.36709690172517e-21,1.64226057487206e-23,-3.35510754439487e-24,9.75863153128566e-28,4.77674857585683e-26,2.15345763073303e-25,7.09348858898046e-25,3.19404608815554e-25,-2.14223199477122e-25,2.35195298439258e-25,5.51919020452387e-23,0,0,0,0,0,0,0,0,0,0
"Sm147Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.09048305325468e-28,6.300347641697e-24,0,0,0.000539834924650822,-2.71047442378096e-20,0.000252363206640893,1,0.0226471910291985,0.00475609425593607,0.000879858753608515,-3.87697460101724e-22,0.00316815887390685,-1.8572523391043e-22,0.00193459115584339,-3.47423419030828e-22,8.41837696036076e-25,1.97196493193474e-24,4.20654138565456e-22,1.12391479128532e-22,2.35466438552915e-21,1.0640413109651e-21,5.65553471362027e-21,0.0038493451250623,-2.16837953902477e-19,6.83842348852945e-21,-5.88545406213382e-21,5.78574676657191e-23,-2.12323509639217e-21,1.13527379144721e-26,-4.18371399849492e-22,-3.28005534340563e-25,2.32161395201103e-25,1.16208228705934e-25,-4.23683392303578e-24,8.71428659390513e-25,2.10211440354529e-23,0,0,0,0,0,0,0,0,0,0
"Nd148Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06923525136962e-26,4.27653288004707e-22,0.013060165338281,0.00812239154799306,0.0157104477872686,0.00522421725345571,0.0170009576077901,0.000136208708729933,1,0.000300253417119193,0.0136633048344199,-3.67333102815157e-21,2.11753252839933e-22,-2.35794860026185e-23,1.05876626419967e-22,7.6883661656493e-23,1.22385367674545e-22,8.35435795663042e-23,7.75577214143651e-20,-6.47372562457804e-20,-3.3880691926898e-20,1.21969904472098e-19,8.13136158329824e-20,1.8100482098016e-25,0.0159510163260436,2.75279228691913e-21,-3.52847507145776e-20,1.6773338609387e-21,1.02328601647329e-22,-1.8648273611175e-26,8.9503960965275e-24,1.29264292281868e-24,-9.1762741145388e-25,1.60262497347192e-24,-7.96660214654596e-23,-6.13971367440671e-23,3.49061872088419e-22,0,0,0,0,0,0,0,0,0,0
"Sm149Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02849314489956e-28,-2.59761502914748e-25,-4.06573139722326e-20,-3.38810949768605e-20,-6.7762189953721e-20,-1.69405474884303e-20,-2.71048759814884e-20,0.00132001930978002,0.00721420723524335,1,0.0158553067220669,-2.64360580752094e-21,0.00353345779204876,1.98522039871183e-23,0.00175916299996313,-8.40535940508769e-23,2.51788468445635e-25,1.02032969329841e-24,-2.61264832992309e-22,-2.09115553495391e-22,-5.75461097873106e-22,1.03486720571308e-22,1.16387173062925e-21,6.07451345679681e-22,-2.75242537928498e-22,0.00396911009608645,-1.3713240843857e-19,7.14679323111152e-22,1.10510601152658e-21,2.48152400753056e-24,-1.04555045530921e-21,6.83399905407891e-25,1.50434784872627e-26,8.63008152336939e-28,-2.1408913023677e-25,6.43014437072526e-25,-4.38427073924328e-25,0,0,0,0,0,0,0,0,0,0
"Nd150Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.22863093793529e-27,1.42430957804695e-24,0.00270875239813948,0.0013426050644215,0.00400880865419268,0.00105564033400292,0.00253574228646426,3.12042041259696e-22,0.00156586913813053,0.000166964383843921,1,0.000345679695384729,3.97046685063387e-23,-1.27054939220284e-21,1.56104724255398e-22,7.25023303924086e-24,4.18451654376138e-23,-8.51850688033819e-23,4.72158629189227e-21,-1.00237421235219e-20,-1.24048601241971e-20,-3.61684746148523e-21,2.56620145808159e-22,2.38228059416034e-22,5.13576262231758e-22,-1.27046448426549e-21,0.0137878411628682,-2.22147620292965e-20,5.97385888354157e-22,-4.56593768299619e-25,2.69992737193611e-22,7.45924411188609e-25,3.81194122282762e-25,7.23798023018011e-25,4.70526289520269e-24,-6.08685742970479e-24,1.43903373745842e-22,0,0,0,0,0,0,0,0,0,0
"Eu151Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.22880037415418e-31,-3.37214412566545e-27,5.27998136552854e-23,-3.97711912047006e-23,2.89544011913348e-25,-2.59580511230002e-23,-5.36382869439354e-23,-5.29368922194555e-23,-1.05873784438911e-22,-1.05873784438911e-22,6.56317189449197e-05,1,0.0003418332342938,0.00810215289875525,-1.27048541326693e-21,2.53683962439837e-25,9.68047262514465e-28,2.55436637131677e-28,2.297797169771e-25,-4.65855136599217e-25,1.53726099069944e-26,-8.90127495055422e-25,-1.01842426613791e-24,-2.78552558680004e-26,1.27525567309449e-24,-1.76545051909896e-25,-1.69275702210822e-22,0.000106652374547705,3.17621353316733e-22,-4.23486104594679e-22,2.6207388898265e-23,-3.01300365757612e-26,-6.55391106274609e-28,1.31507903530649e-29,3.30594353144784e-27,-6.28364566580538e-28,5.08268240261967e-27,0,0,0,0,0,0,0,0,0,0
"Sm152Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.85808924561299e-29,-1.18449770911728e-25,-4.5272190006117e-22,-2.31250708454625e-22,8.37292483979195e-22,1.47325529462921e-21,-2.16351632028281e-21,0.000420859723058296,0.00071127939817252,0.000805819822966716,0.000997021118034681,0.000297327230679652,1,0.000359484190808316,0.00657114818542586,-4.23519400757089e-22,2.06773363211593e-25,-3.76950682277733e-26,-1.3757768223452e-24,-1.78639829053827e-23,1.40290158391545e-23,5.96699381663312e-23,2.39573154813217e-23,-4.97684980049725e-22,-6.58870978511852e-22,3.13494247507811e-21,-7.27471148312674e-21,-4.8702053431458e-21,0.00264100240263453,2.64687737248244e-23,6.77589194659565e-21,4.43728786497453e-24,2.12256396724507e-26,-2.75397982848362e-27,-9.1638573008437e-26,-1.21876899523953e-26,4.09014499296734e-26,0,0,0,0,0,0,0,0,0,0
"Eu153Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60954496076076e-33,-9.7331700021016e-29,-4.85363579444917e-25,-4.73679477673454e-25,-4.06754822846774e-25,1.28652305130387e-25,4.1476265704232e-25,-2.64697793669262e-23,-5.29395587338524e-23,-1.05879117467705e-22,1.05879117467705e-22,0.00620541140666512,7.218350176936e-05,1,0.000315654192747803,-5.29395587338524e-23,-3.87740908695208e-26,-2.31729423030253e-26,-3.41169386184934e-26,-1.88518716968528e-26,-7.34108543018742e-27,-9.96553031995114e-27,3.40878678230821e-27,1.71059428506004e-25,-4.30288474652516e-25,-3.49278862027204e-25,-1.09956452673827e-23,1.3648479950051e-22,-1.04024179684388e-22,0.000124882990049272,-3.17637352403114e-22,1.33684750598174e-25,1.22264966100346e-26,2.72079365669078e-28,2.53393222868749e-27,-4.36255958491641e-29,-8.00644167837176e-29,0,0,0,0,0,0,0,0,0,0
"Sm154Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24630666125525e-29,-6.78684049158515e-26,-4.44937044059562e-21,-2.96583904024816e-21,-1.47741248441248e-21,-1.36786201401322e-21,-7.00025951561095e-21,0.000406380653833024,0.000585911429111397,0.000629856895018289,0.000452621705225047,-9.26442255186518e-22,0.00577915339100072,2.80984262116964e-05,1,0.000281020337775546,0,-5.29395585766622e-23,-4.21862107407777e-23,3.5769343583532e-24,2.43062397896419e-23,1.30468774900994e-23,-6.86559925261705e-23,-1.35507358511817e-22,-5.29395585766622e-21,1.97404763223971e-21,-3.38813174890638e-21,9.49934454359571e-27,-2.03287835406632e-20,-2.11757524370321e-22,0.00204182624256885,4.23516468613298e-22,-8.81133532091927e-24,-4.84746634314719e-25,3.12169424759834e-24,-2.29763571058148e-26,-3.54081929846175e-25,0,0,0,0,0,0,0,0,0,0
"Gd155Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44887271613247e-33,5.8385456276383e-30,1.03522200895736e-25,1.07652999703237e-26,8.00731738065287e-26,2.92913655807623e-26,-1.32774899541436e-25,3.29021523894557e-24,9.91382948367126e-24,6.61744490042421e-24,1.32472282840419e-23,7.08646210139766e-26,2.11659533877855e-22,2.0640960763369e-25,4.22507710773413e-05,1,0.000932253911416254,0.000456237193785056,1.58927880362987e-05,1.75774542232494e-24,2.11756624571968e-22,5.76869084224364e-28,-6.11936074446367e-27,-1.94343395367096e-26,2.65067369840427e-28,-1.46477427517326e-26,3.08415138056198e-27,-1.60302808158134e-23,-8.48259734396077e-24,-5.87919861773244e-25,-1.30529107852965e-21,0.00445536158591966,-1.07148852033416e-19,-4.71310912020453e-21,-1.69380529857093e-21,1.22842355180668e-24,2.07808490077665e-22,0,0,0,0,0,0,0,0,0,0
"Gd156Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74151774039192e-34,-2.84192479425517e-29,5.80271750004805e-26,-5.65728721211873e-26,3.72983028643847e-25,3.7631703454157e-26,5.55327340697293e-26,-1.98252453731841e-23,-1.31536804629171e-23,5.40205092573484e-26,1.33429894656974e-23,3.61858712313911e-26,-1.04148543267174e-22,-4.11889727789036e-25,0.000132805102609032,0.00816334855374289,1,0.0272220465716867,0.00769848491938228,3.03769860760827e-33,0.0015804722938024,3.22488146485715e-27,3.01970943318369e-27,-4.85027871063872e-26,3.35332357412368e-25,2.07889688155694e-26,3.30851517248696e-24,-3.3272787675796e-24,-1.69929273422699e-24,1.76787747903939e-27,-6.7621029069242e-22,-4.03625166295136e-20,0.00385312260939823,-7.26187814562311e-20,-4.23245604332107e-20,-1.32346968208914e-23,-4.23510298268525e-21,0,0,0,0,0,0,0,0,0,0
"Gd157Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gd158Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.06528787795291e-36,-1.9051339420938e-32,3.75295568271122e-28,-1.73831669018355e-28,2.27866676012162e-28,-3.95735905926764e-29,-4.26244562764457e-28,-1.9455886322484e-26,7.82772846688102e-27,3.07679788246401e-27,4.14972888867549e-26,3.07301067175415e-29,1.25900684422493e-25,1.00660448262587e-27,5.64308598148649e-38,0.000464952396521893,0.00170490574617957,0.00954236566967761,1,0.000322350922363812,0.00561880107806126,2.39355222829834e-30,1.65707386519046e-29,4.67300638063508e-30,1.5331974629339e-29,-4.98928410496644e-29,3.73168579945066e-27,6.21812485759433e-27,-4.44375127612354e-26,1.68152586889064e-27,3.30901589674705e-24,6.7807641567293e-23,8.27964330499792e-22,-1.46322083231213e-21,0.00312539494550552,-4.23502914534642e-22,1.01638995480014e-20,0,0,0,0,0,0,0,0,0,0
